title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity
The Revenant,7.5,17114,2015-12-25,532950503,157,135000000,36.747,"['Western', 'Drama', 'Adventure']",6,180.0,0.7185521055901447,0.4311313,0.5748417,0.5748417
Batman v Superman: Dawn of Justice,5.952,17081,2016-03-23,873637528,152,250000000,78.589,"['Action', 'Adventure', 'Fantasy']",6,180.0,0.9533916773822058,0.9533917,0.9533917,0.3813567
The Lion King,8.256,16991,1994-06-24,763455561,89,45000000,87.384,"['Family', 'Animation', 'Drama']",3,90.0,0.9832159567141621,0.7865728,0.5899296,0.7865728
Gladiator,8.209,16962,2000-05-04,465361176,155,103000000,53.587,"['Action', 'Drama', 'Adventure']",6,180.0,0.840020412267575,0.6720163,0.8400204,0.5040122
The Truman Show,8.133,16827,1998-06-04,264118201,103,60000000,42.954,"['Comedy', 'Drama']",4,120.0,0.7700755921114899,0.6160605,0.7700756,0.7700756
The Incredibles,7.704,16584,2004-10-27,631442092,115,92000000,62.609,"['Action', 'Adventure', 'Animation', 'Family']",4,120.0,0.8872140486724204,0.887214,0.5323284,0.3548856
Arrival,7.6,16564,2016-11-10,203388186,116,47000000,47.983,"['Drama', 'Science Fiction', 'Mystery']",4,150.0,0.8055233302429771,0.3222093,0.8055233,0.6444187
Thor: The Dark World,6.538,16359,2013-10-30,644783140,112,170000000,59.968,"['Action', 'Adventure', 'Fantasy']",4,120.0,0.8743021391942887,0.8743021,0.8743021,0.3497209
The Amazing Spider-Man,6.691,16352,2012-06-23,757930663,136,215000000,78.989,"['Action', 'Adventure', 'Fantasy']",5,150.0,0.9548339167054873,0.9548339,0.9548339,0.3819336
Split,7.337,16345,2017-01-19,278454358,117,9000000,44.51,"['Horror', 'Thriller']",4,150.0,0.7815657049990276,0.3126263,0.7815657,0.3126263
Deadpool 2,7.492,16324,2018-05-10,785896609,120,110000000,66.096,"['Action', 'Comedy', 'Adventure']",5,150.0,0.9032829057885218,0.9032829,0.9032829,0.5419697
The Shining,8.218,16205,1980-05-23,44781695,144,19000000,45.252,"['Horror', 'Thriller']",5,180.0,0.786872604865376,0.314749,0.7868726,0.314749
Kill Bill: Vol. 1,7.97,16188,2003-10-10,180906076,111,30000000,36.315,"['Action', 'Crime']",4,120.0,0.7145713041447354,0.571657,0.7145713,0.571657
The Hunger Games: Catching Fire,7.4,16182,2013-11-15,865011746,146,130000000,49.864,"['Adventure', 'Action', 'Science Fiction']",5,180.0,0.8176287442696483,0.654103,0.8176287,0.3270515
Get Out,7.62,16081,2017-02-24,255407969,104,4500000,36.442,"['Mystery', 'Thriller', 'Horror']",4,120.0,0.7157476300333884,0.2862991,0.7157476,0.4294486
The Imitation Game,8.007,15973,2014-11-14,233555708,113,14000000,47.491,"['History', 'Drama', 'Thriller', 'War']",4,120.0,0.8022608823053655,0.3209044,0.6418087,0.6418087
Bohemian Rhapsody,7.997,15965,2018-10-24,903992901,135,52000000,37.55,"['Music', 'Drama', 'History']",5,150.0,0.7258003296996618,0.4354802,0.5806403,0.7258003
